j._k._rowling_harry_potter 	NP 	J._K._Rowling_Harry_Potter
ter 	VMI 	tinha
um 	DI 	um
pescoço 	NC 	pescoço
com 	SP 	com
o 	DA 	o
dobro 	NC 	dobro
de 	SP 	de
o 	DA 	o
tamanho 	NC 	tamanho
normal 	AQ 	normal
que 	PR 	que
lhe 	PP 	lhe
ser 	VMI 	era
extremo 	RG 	extremamente
útil 	AQ 	útil
para 	SP 	para
espreitar 	VMN 	espreitar
o 	DA 	os
vizinho 	NC 	vizinhos
através 	RG 	através
de 	SP 	de
o 	DA 	as
sebe 	NC 	sebes
, 	Fc 	,
o 	PD 	o
que 	PR 	que
suceder 	VMI 	sucedia
com 	SP 	com
grande 	AQ 	grande
frequência 	NC 	frequência
. 	Fp 	.
o 	DA 	Os
dursleys 	NP 	Dursleys
ter 	VMI 	tinham
um 	DI 	um
filho 	NC 	filho
pequeno 	AQ 	pequeno
chamar 	VMP 	chamado
dudley 	NP 	Dudley
que 	PR 	que
, 	Fc 	,
em 	SP 	em
o 	DA 	a
opinião 	NC 	opinião
de 	SP 	de
ambos 	PI 	ambos
, 	Fc 	,
ser 	VMI 	era
melhor 	AQ 	melhor
do_que 	CS 	do_que
qualquer 	DI 	qualquer
outro 	DI 	outro
rapazinho 	NC 	rapazinho
a 	SP 	a
o 	DA 	a
face 	NC 	face
de 	SP 	de
o 	DA 	a
terra 	NC 	terra
. 	Fp 	.
o 	DA 	Os
dursleys 	NP 	Dursleys
ter 	VMI 	tinham
tudo_o_que 	PR 	tudo_o_que
querer 	VMI 	queriam
mas 	CC 	mas
, 	Fc 	,
infeliz 	RG 	infelizmente
, 	Fc 	,
ter 	VMI 	tinham
também 	RG 	também
um 	DI 	um
segredo 	NC 	segredo
e 	CC 	e
o 	DA 	o
seu 	DP 	seu
maior 	AQ 	maior
pavor 	NC 	pavor
ser 	VMI 	era
o 	DA 	a
ideia 	NC 	ideia
de 	SP 	de
que 	CS 	que
este 	PD 	este
poder 	VMS 	pudesse
algum 	DI 	alguma
vez 	NC 	vez
ser 	VMN 	ser
descobrir 	VMP 	descoberto
. 	Fp 	.
ser 	VMI 	Seria
insuportável 	AQ 	insuportável
se 	CS 	se
alguém 	PI 	alguém
suspeitar 	VMS 	suspeitasse
de 	SP 	de
o 	DA 	a
existência 	NC 	existência
de 	SP 	de
o 	DA 	os
potters 	NP 	Potters
. 	Fp 	.
o 	DA 	A
senhor 	NC 	senhora
potter 	NP 	Potter
ser 	VMI 	era
irmão 	NC 	irmã
de 	SP 	de
o 	DA 	a
senhor 	NC 	senhora
dursley 	NP 	Dursley
mas 	CC 	mas
não 	RN 	não
se 	PP 	se
ver 	VMI 	viam
haver 	VMI 	havia
muito 	DI 	muitos
ano 	NC 	anos
. 	Fp 	.
o 	DA 	A
verdade 	NC 	verdade
É_que 	RG 	é_que
o 	DA 	a
senhor 	NC 	senhora
dursley 	NP 	Dursley
fazer 	VMI 	fazia
se 	PP 	se
passar 	VMN 	passar
por 	SP 	por
filho 	NC 	filha
único 	AQ 	única
porque 	CS 	porque
o 	DA 	a
irmão 	NC 	irmã
e 	CC 	e
o 	DA 	o
imprestável 	AQ 	imprestável
de 	SP 	de
o 	DA 	o
cunhado 	NC 	cunhado
ser 	VMI 	eram
o 	DA 	o
mais 	RG 	mais
diferente 	AQ 	diferente
de 	SP 	de
ele 	PP 	eles
que 	PR 	que
imaginar 	VMN 	imaginar
se 	PP 	se
poder 	VMI 	pode
. 	Fp 	.
o 	DA 	Os
dursleys 	NP 	Dursleys
ficar 	VMI 	ficavam
arrepiar 	VMP 	arrepiados
só 	RG 	só
de 	SP 	de
pensar 	VMN 	pensar
em 	SP 	em
o 	DA 	o
que 	PR 	que
dizer 	VMI 	diriam
o 	DA 	os
vizinho 	NC 	vizinhos
se 	CS 	se
o 	DA 	os
potters 	NP 	Potters
algum 	DI 	alguma
vez 	NC 	vez
aparecer 	VMS 	aparecessem
lá 	RG 	lá
em 	SP 	em
