j._k._rowling_harry_potter 	NP 	J._K._Rowling_Harry_Potter
olhar 	VMI 	olhou
rapidamente 	RG 	rapidamente
em 	SP 	em
volta 	NC 	volta
e 	CC 	e
aperceber 	VMI 	apercebeu
se 	PP 	se
de 	SP 	de
o 	DA 	a
existência 	NC 	existência
de 	SP 	de
um 	DI 	um
grande 	AQ 	grande
armário 	NC 	armário
escuro 	AQ 	escuro
a 	SP 	a
o 	DA 	a
seu 	DP 	sua
esquerda 	NC 	esquerda
, 	Fc 	,
saltar 	VMI 	saltou
lá 	RG 	lá
para 	SP 	para
dentro 	RG 	dentro
e 	CC 	e
fechar 	VMI 	fechou
o 	DA 	as
porta 	NC 	portas
, 	Fc 	,
deixar 	VMG 	deixando
um 	DI 	uma
greta 	NC 	gretazinha
para 	SP 	para
poder 	VMN 	poder
espreitar 	VMN 	espreitar
. 	Fp 	.
segundo 	NC 	Segundos
depois 	RG 	depois
, 	Fc 	,
um 	DI 	uma
campainha 	NC 	campainha
tocar 	VMI 	tocava
e 	CC 	e
malfoy 	NP 	Malfoy
entrar 	VMI 	entrava
em 	SP 	em
o 	DA 	a
loja 	NC 	loja
. 	Fp 	.
o 	DA 	O
homem 	NC 	homem
que 	PR 	que
o 	PP 	o
acompanhar 	VMI 	acompanhava
só 	RG 	só
poder 	VMI 	podia
ser 	VMN 	ser
o 	DA 	o
pai 	NC 	pai
. 	Fp 	.
ter 	VMI 	Tinha
o 	DA 	o
mesmo 	RG 	mesmo
rosto 	NC 	rosto
pálido 	AQ 	pálido
de 	SP 	de
feição 	NC 	feições
agudo 	AQ 	agudas
e 	CC 	e
o 	DA 	os
mesmo 	PI 	mesmos
olho 	NC 	olhos
cinzento 	AQ 	cinzentos
de 	SP 	de
gelo 	NC 	gelo
. 	Fp 	.
mr._malfoy 	NP 	Mr._Malfoy
atravessar 	VMI 	atravessou
o 	DA 	a
loja 	NC 	loja
, 	Fc 	,
olhar 	VMG 	olhando
maquinal 	RG 	maquinalmente
para 	SP 	para
o 	DA 	os
artigo 	NC 	artigos
expor 	VMP 	expostos
e 	CC 	e
tocar 	VMI 	tocou
o 	DA 	a
campainha 	NC 	campainha
de 	SP 	de
o 	DA 	o
balcão 	NC 	balcão
, 	Fc 	,
antes 	RG 	antes
de 	SP 	de
se 	PP 	se
voltar 	VMN 	voltar
para 	SP 	para
o 	DA 	o
filho 	NC 	filho
, 	Fc 	,
dizer 	VMG 	dizendo
: 	Fd 	:
- 	Fg 	-
não 	RN 	Não
mexer 	VMS 	mexas
em 	SP 	em
nada 	PI 	nada
, 	Fc 	,
draco 	NP 	Draco
. 	Fp 	.
malfoy 	NP 	Malfoy
, 	Fc 	,
que 	PR 	que
virar 	VMI 	vira
o 	DA 	o
olho 	NC 	olho
de 	SP 	de
vidro 	NC 	vidro
, 	Fc 	,
dizer 	VMI 	disse
: 	Fd 	:
- 	Fg 	-
pensar 	VMI 	Pensei
que 	CS 	que
ir 	VMI 	ias
oferecer 	VMN 	oferecer
me 	PP 	me
um 	DI 	um
presente 	AQ 	presente
. 	Fp 	.
- 	Fg 	-
eu 	PP 	Eu
prometer 	VMI 	prometi
que 	CS 	que
ir 	VMI 	ia
comprar 	VMN 	comprar
te 	PP 	te
um 	DI 	uma
vassoura 	NC 	vassoura
de 	SP 	de
corrida 	NC 	corrida
- 	Fg 	-
declarar 	VMI 	declarou
o 	DA 	o
pai 	NC 	pai
, 	Fc 	,
tamborilar 	VMG 	tamborilando
com 	SP 	com
o 	DA 	os
dedo 	NC 	dedos
sobre 	SP 	sobre
o 	DA 	o
balcão 	NC 	balcão
. 	Fp 	.
- 	Fg 	-
para 	SP 	Para
que 	PR 	que
É_que 	RG 	é_que
me 	PP 	me
servir 	VMI 	serve
, 	Fc 	,
se 	CS 	se
não 	RN 	não
estar 	VMI 	estou
em 	SP 	em
o 	DA 	a
equipa 	NC 	equipa
de 	SP 	de
quidditch 	NP 	Quidditch
? 	Fit 	?
- 	Fg 	-
perguntar 	VMI 	perguntou
malfoy 	NP 	Malfoy
, 	Fc 	,
carrancudo 	NC 	carrancudo
e 	CC 	e
de 	SP 	de
mau 	AQ 	mau
humor 	NC 	humor
. 	Fp 	.
- 	Fg 	-
o 	DA 	O
harry_potter 	NP 	Harry_Potter
ter 	VMI 	teve
um 	DI 	uma
nimbus 	NP 	Nimbus
2000 	Z 	dois_mil
o 	DA 	o
ano 	NC 	ano
passar 	VMP 	passado
, 	Fc 	,
com 	SP 	com
o 	DA 	a
autorização 	NC 	autorização
especial 	AQ 	especial
de 	SP 	de
o 	DA 	o
dumbledor 	NP 	Dumbledor
ser 	VMI 	é
para 	SP 	para
jogar 	VMN 	jogar
em 	SP 	em
o 	DA 	os
gryffindor 	NP 	Gryffindor
. 	Fp 	.
ele 	PP 	Ele
nem 	CC 	nem
ser 	VMI 	é
assim 	RG 	assim
tão 	RG 	tão
bom 	AQ 	bom
, 	Fc 	,
ser 	VMI 	é
só 	RG 	só
por 	SP 	por
ser 	VMN 	ser
* 	Fz 	*
famoso 	AQ 	famoso
* 	Fz 	*
... 	Fs 	...
famoso 	AQ 	famoso
por 	SP 	por
ter 	VMN 	ter
um 	DI 	uma
estúpido 	AQ 	estúpida
cicatriz 	NC 	cicatriz
em 	SP 	em
o 	DA 	a
testa 	NC 	testa
. 	Fp 	.
malfoy 	NP 	Malfoy
baixar 	VMI 	baixou
se 	PP 	se
para 	SP 	para
observar 	VMN 	observar
um 	DI 	uma
prateleira 	NC 	prateleira
cheio 	AQ 	cheia
de 	SP 	de
crânio 	NC 	crânios
. 	Fp 	.
- 	Fg 	-
todo 	PI 	Todos
achar 	VMI 	acham
que 	CS 	que
ele 	PP 	ele
ser 	VMI 	é
tão 	RG 	tão
esperto 	AQ 	esperto
, 	Fc 	,
o 	DA 	o
potter 	NP 	Potter
maravilhar 	VMI 	maravilha
, 	Fc 	,
com 	SP 	com
o 	DA 	a
seu 	DP 	sua
cicatriz 	NC 	cicatriz
e 	CC 	e
o 	DA 	a
seu 	DP 	sua
vassoura 	NC 	vassoura
... 	Fs 	...
- 	Fg 	-
já 	RG 	Já
me 	PP 	me
dizer 	VMI 	disseste
isso 	PD 	isso
12 	Z 	doze
vez 	NC 	vezes
pelo_menos 	RG 	pelo_menos
- 	Fg 	-
comentar 	VMI 	comentou
mr._malfoy 	NP 	Mr._Malfoy
, 	Fc 	,
olhar 	VMG 	olhando
repressivo 	RG 	repressivamente
para 	SP 	para
o 	DA 	o
filho 	NC 	filho
. 	Fp 	.
- 	Fg 	-
e 	CC 	E
dever 	VMI 	devo
lembrar 	VMN 	lembrar
te 	PP 	te
que 	CS 	que
não 	RN 	não
ser 	VMI 	é
prudente 	AQ 	prudente
parecer 	VMN 	parecer
menos 	RG 	menos
do_que 	CS 	do_que
amigo 	NC 	amigo
de 	SP 	de
harry_potter 	NP 	Harry_Potter
, 	Fc 	,
quando 	RG 	quando
o 	DA 	a
maior 	AQ 	maior
parte 	NC 	parte
de 	SP 	de
o 	DA 	a
nosso 	DP 	nossa
gente 	NC 	gente
ver 	VMI 	vê
em 	SP 	em
ele 	PP 	ele
um 	DI 	um
herói 	NC 	herói
que 	PR 	que
fazer 	VMI 	fez
desaparecer 	VMN 	desaparecer
o 	DA 	o
senhor_do_mal 	NP 	Senhor_do_Mal
. 	Fp 	.
ah 	I 	Ah
, 	Fc 	,
mr._borgin 	NP 	Mr._Borgin
. 	Fp 	.
um 	DI 	Um
homem 	NC 	homem
curvar 	VMP 	curvado
surgir 	VMI 	surgiu
por 	SP 	por
detrás 	RG 	detrás
de 	SP 	de
o 	DA 	o
balcão 	NC 	balcão
, 	Fc 	,
puxar 	VMG 	puxando
o 	DA 	o
cabelo 	NC 	cabelo
gorduroso 	AQ 	gorduroso
para 	SP 	para
trás 	I 	trás
. 	Fp 	.
- 	Fg 	-
mr._malfoy 	NP 	Mr._Malfoy
, 	Fc 	,
que 	PR 	que
prazer 	NC 	prazer
ver 	VMI 	vês
o 	PP 	o
de_novo 	RG 	de_novo
- 	Fg 	-
dizer 	VMI 	disse
mr._borgin 	NP 	Mr._Borgin
, 	Fc 	,
em 	SP 	em
um 	DI 	uma
voz 	NC 	voz
tão 	RG 	tão
untuoso 	AQ 	untuosa
como 	CS 	como
o 	DA 	o
cabelo 	NC 	cabelo
. 	Fp 	.
- 	Fg 	-
encantar 	VMP 	Encantado
, 	Fc 	,
e 	CC 	e
o 	DA 	o
nosso 	DP 	nosso
jovem 	NC 	jovem
malfoy 	NP 	Malfoy
também 	RG 	também
, 	Fc 	,
encantar 	VMP 	encantado
. 	Fp 	.
em 	SP 	Em
que 	PR 	que
poder 	VMI 	posso
servir 	VMN 	servi
o 	PP 	os
? 	Fit 	?
ter 	VMI 	Tenho
que 	CS 	que
vos 	PP 	vos
mostrar 	VMN 	mostrar
o 	PD 	o
que 	PR 	que
chegar 	VMI 	chegou
hoje 	RG 	hoje
, 	Fc 	,
a 	SP 	a
um 	DI 	um
preço 	NC 	preço
muito 	RG 	muito
razoável 	AQ 	razoável
... 	Fs 	...
- 	Fg 	-
hoje 	RG 	Hoje
não 	RN 	não
vir 	VMI 	venho
comprar 	VMN 	comprar
, 	Fc 	,
mr._borgin 	NP 	Mr._Borgin
, 	Fc 	,
e 	CC 	e
sim 	RG 	sim
vender 	VMN 	vender
- 	Fg 	-
afirmar 	VMI 	afirmou
mr._malfoy 	NP 	Mr._Malfoy
. 	Fp 	.
- 	Fg 	-
vender 	VMN 	Vender
? 	Fit 	?
- 	Fg 	-
o 	DA 	O
sorriso 	NC 	sorriso
apagar 	VMI 	apagou
se 	PP 	se
lento 	RG 	lentamente
em 	SP 	em
o 	DA 	o
rosto 	NC 	rosto
de 	SP 	de
mr._borgin 	NP 	Mr._Borgin
. 	Fp 	.
- 	Fg 	-
certo 	RG 	Certamente
ouvir 	VMI 	ouviu
dizer 	VMN 	dizer
que 	CS 	que
o 	DA 	o
ministério 	NP 	Ministério
estar 	VMI 	está
a 	SP 	a
levar 	VMN 	levar
o 	DA 	a
cabo 	NC 	cabo
mais 	RG 	mais
busca 	NC 	buscas
- 	Fg 	-
explicar 	VMI 	explicou
o 	DA 	o
mr._malfoy 	NP 	Mr._Malfoy
, 	Fc 	,
retirar 	VMG 	retirando
de 	SP 	de
o 	DA 	o
bolso 	NC 	bolso
um 	DI 	um
rolo 	NC 	rolo
de 	SP 	de
pergaminho 	NC 	pergaminho
e 	CC 	e
desembrulhar 	VMG 	desembrulhando
o 	PP 	o
para 	SP 	para
mr._borgin 	NP 	Mr._Borgin
o 	PP 	o
ler 	VMN 	ler
. 	Fp 	.
- 	Fg 	-
eu 	PP 	Eu
ter 	VMI 	tenho
algum 	PI 	alguns
, 	Fc 	,
ah 	I 	ah
, 	Fc 	,
artigo 	NC 	artigos
em 	SP 	em
casa 	NC 	casa
que 	PR 	que
poder 	VMI 	poderiam
criar 	VMN 	criar
me 	PP 	me
problema 	NC 	problemas
se 	CS 	se
o 	DA 	o
ministério 	NP 	Ministério
me 	PP 	me
bater 	VMS 	batesse
o 	DA 	a
porta 	NC 	porta
. 	Fp 	.
mr._borgin 	NP 	Mr._Borgin
colocar 	VMI 	colocou
em 	SP 	em
o 	DA 	o
nariz 	NC 	nariz
um 	DI 	um
par 	NC 	par
de 	SP 	de
* 	Fz 	*
pince-nez 	NC 	pince-nez
* 	Fz 	*
e 	CC 	e
olhar 	VMI 	olhou
para 	SP 	para
o 	DA 	a
lista 	NC 	lista
. 	Fp 	.
- 	Fg 	-
o 	DA 	O
ministério 	NP 	Ministério
não 	RN 	não
se 	PP 	se
lembrar 	VMI 	lembraria
de 	SP 	de
o 	DA 	o
incomodar 	VMN 	incomodar
certo 	RG 	certamente
... 	Fs 	...
o 	DA 	O
lábio 	NC 	lábio
de 	SP 	de
mr._malfoy 	NP 	Mr._Malfoy
dobrar 	VMI 	dobrou
se 	PP 	se
. 	Fp 	.
- 	Fg 	-
ainda 	RG 	Ainda
não 	RN 	não
me 	PP 	me
fazer 	VMI 	fizeram
nenhum 	DI 	nenhuma
visita 	NC 	visita
. 	Fp 	.
o 	DA 	O
nome 	NC 	nome
malfoy 	NP 	Malfoy
ainda 	RG 	ainda
impor 	VMI 	impõe
um 	DI 	um
certo 	AQ 	certo
respeito 	NC 	respeito
, 	Fc 	,
mas 	CC 	mas
o 	DA 	o
ministério 	NP 	Ministério
estar 	VMI 	está
a 	SP 	a
ficar 	VMN 	ficar
cada_vez_mais 	RG 	cada_vez_mais
intrometer 	VMP 	intrometido
. 	Fp 	.
haver 	VMI 	Há
boato 	NC 	boatos
sobre 	SP 	sobre
um 	DI 	um
novo 	AQ 	novo
decreto 	NC 	decreto
de 	SP 	de
protecção 	NC 	protecção
de 	SP 	de
o 	DA 	os
muggles 	NP 	Muggles
, 	Fc 	,
sem 	SP 	sem
dúvida 	NC 	dúvida
que 	CS 	que
aquele 	DD 	aquele
morder 	VMP 	mordido
de 	SP 	de
o 	DA 	as
pulga 	NC 	pulgas
, 	Fc 	,
adorador 	NC 	adorador
de 	SP 	de
o 	DA 	os
muggles 	NP 	Muggles
, 	Fc 	,
que 	PR 	que
ser 	VMI 	é
o 	DA 	o
arthur_weasley 	NP 	Arthur_Weasley
dever 	VMI 	deve
estar 	VMN 	estar
por 	SP 	por
detrás 	RG 	detrás
de 	SP 	de
isso 	PD 	isso
. 	Fp 	.
harry 	NP 	Harry
sentir 	VMI 	sentiu
crescer 	VMN 	crescer
o 	DA 	a
raiva 	NC 	raiva
. 	Fp 	.
- 	Fg 	-
e 	CC 	E
, 	Fc 	,
como 	CS 	como
poder 	VMI 	pode
ver 	VMN 	ver
, 	Fc 	,
algum 	DI 	alguns
de 	SP 	de
este 	DD 	estes
veneno 	NC 	venenos
poder 	VMI 	podiam
dar 	VMN 	dar
o 	DA 	a
ideia 	NC 	ideia
... 	Fs 	...
- 	Fg 	-
compreender 	VMI 	Compreendo
perfeito 	RG 	perfeitamente
, 	Fc 	,
claro 	AQ 	claro
- 	Fg 	-
dizer 	VMI 	disse
mr._borgin 	NP 	Mr._Borgin
. 	Fp 	.
- 	Fg 	-
deixar 	VMS 	Deixe
me 	PP 	me
ver 	VMN 	ver
... 	Fs 	...
- 	Fg 	-
poder 	VMI 	Posso
ter 	VMN 	ter
aquilo 	PD 	aquilo
? 	Fit 	?
- 	Fg 	-
interromper 	VMI 	interrompeu
draco 	NP 	Draco
, 	Fc 	,
apontar 	VMG 	apontando
para 	SP 	para
o 	DA 	a
mão 	NC 	mão
raquítico 	AQ 	raquítica
que 	PR 	que
estar 	VMI 	estava
sobre 	SP 	sobre
o 	DA 	a
almofada 	NC 	almofada
. 	Fp 	.
- 	Fg 	-
ah 	I 	Ah
, 	Fc 	,
o 	DA 	a
mão 	NC 	mão
de 	SP 	de
o 	DA 	a
glória 	NC 	glória
! 	Fat 	!
- 	Fg 	-
exclamar 	VMI 	exclamou
mr._borgin 	NP 	Mr._Borgin
, 	Fc 	,
abandonar 	VMG 	abandonando
o 	DA 	a
lista 	NC 	lista
de 	SP 	de
mr._malfoy 	NP 	Mr._Malfoy
e 	CC 	e
apressar 	VMG 	apressando
se 	PP 	se
a 	SP 	a
responder 	VMN 	responder
o 	DA 	a
draco 	NP 	Draco
. 	Fp 	.
- 	Fg 	-
pôr 	VMI 	Põe
se 	PP 	se
lhe 	PP 	lhe
um 	DI 	uma
vela 	NC 	vela
e 	CC 	e
ele 	PP 	ela
só 	RG 	só
dar 	VMI 	dá
luz 	NC 	luz
a 	SP 	a
quem 	PR 	quem
o 	PP 	a
transportar 	VMI 	transporta
! 	Fat 	!
o 	DA 	A
melhor 	AQ 	melhor
amigo 	NC 	amiga
de 	SP 	de
o 	DA 	os
gatuno 	NC 	gatunos
e 	CC 	e
de 	SP 	de
o 	DA 	os
salteador 	NC 	salteadores
, 	Fc 	,
o 	DA 	o
seu 	DP 	seu
filho 	NC 	filho
ter 	VMI 	tem
gosto 	NC 	gosto
, 	Fc 	,
senhor 	NC 	senhor
. 	Fp 	.
- 	Fg 	-
esperar 	VMI 	Espero
que 	CS 	que
o 	DA 	o
meu 	DP 	meu
filho 	NC 	filho
vir 	VMS 	venha
a 	SP 	a
ser 	VMN 	ser
mais 	RG 	mais
do_que 	CS 	do_que
gatuno 	AQ 	gatuno
ou 	CC 	ou
salteador 	AQ 	salteador
, 	Fc 	,
borgin 	NP 	Borgin
- 	Fg 	-
dizer 	VMI 	disse
mr._malfoy 	NP 	Mr._Malfoy
frio 	RG 	friamente
e 	CC 	e
mr._borgin 	NP 	Mr._Borgin
responder 	VMI 	respondeu
logo 	RG 	logo
: 	Fd 	:
- 	Fg 	-
sem 	SP 	Sem
ofensa 	NC 	ofensa
, 	Fc 	,
senhor 	NC 	senhor
, 	Fc 	,
sem 	SP 	sem
querer 	VMN 	querer
ofender 	VMN 	ofender
. 	Fp 	.
- 	Fg 	-
embora 	CS 	Embora
, 	Fc 	,
se 	CS 	se
o 	DA 	as
nota 	NC 	notas
de 	SP 	de
o 	DA 	a
escola 	NC 	escola
não 	RN 	não
melhorar 	VMN 	melhorarem
- 	Fg 	-
dizer 	VMI 	disse
mr._malfoy 	NP 	Mr._Malfoy
ainda 	RG 	ainda
mais 	RG 	mais
frio 	RG 	friamente
- 	Fg 	-
esse 	PD 	esse
poder 	VMS 	possa
vir 	VMN 	vir
a 	SP 	a
ser 	VMN 	ser
o 	DA 	o
único 	AQ 	único
caminho 	NC 	caminho
possível 	AQ 	possível
para 	SP 	para
ele 	PP 	ele
. 	Fp 	.
- 	Fg 	-
não 	RN 	Não
ter 	VMI 	tenho
culpa 	NC 	culpa
- 	Fg 	-
retorquir 	VMI 	retorquiu
draco 	NP 	Draco
. 	Fp 	.
- 	Fg 	-
todo 	DI 	Todos
o 	DA 	os
professor 	NC 	professores
ter 	VMI 	têm
o 	DA 	os
seu 	DP 	seus
preferir 	VMP 	preferidos
, 	Fc 	,
aquele 	DD 	aquela
hermione_granger 	NP 	Hermione_Granger
... 	Fs 	...
- 	Fg 	-
eu 	PP 	Eu
, 	Fc 	,
em 	SP 	em
o 	DA 	o
teu 	DP 	teu
lugar 	NC 	lugar
, 	Fc 	,
ter 	VMI 	teria
vergonha 	NC 	vergonha
que 	PR 	que
um 	DI 	uma
rapaz 	NC 	rapariga
que 	PR 	que
nem_sequer 	RG 	nem_sequer
pertencer 	VMI 	pertence
o 	DA 	a
família 	NC 	famílias
de 	SP 	de
feiticeiro 	NC 	feiticeiros
, 	Fc 	,
me 	PP 	me
passar 	VMS 	passasse
a 	SP 	a
o 	DA 	a
frente 	NC 	frente
em 	SP 	em
todo 	DI 	todos
o 	DA 	os
exame 	NC 	exames
- 	Fg 	-
interromper 	VMI 	interrompeu
mr._malfoy 	NP 	Mr._Malfoy
. 	Fp 	.
ah 	I 	Ah
- 	Fg 	-
fazer 	VMI 	fez
harry 	NP 	Harry
baixo 	AQ 	baixinho
, 	Fc 	,
radiante 	AQ 	radiante
por 	SP 	por
ver 	VMN 	ver
draco 	NP 	Draco
atrapalhar 	VMP 	atrapalhado
e 	CC 	e
furioso 	AQ 	furioso
. 	Fp 	.
- 	Fg 	-
ser 	VMI 	É
o 	PP 	o
mesmo 	RG 	mesmo
em 	SP 	em
todo 	DI 	todo
o 	DA 	o
lado 	NC 	lado
- 	Fg 	-
comentar 	VMI 	comentou
mr._borgin 	NP 	Mr._Borgin
em 	SP 	em
o 	DA 	a
seu 	DP 	sua
voz 	NC 	voz
untuoso 	AQ 	untuosa
. 	Fp 	.
- 	Fg 	-
o 	DA 	O
sangue 	NC 	sangue
de 	SP 	de
o 	DA 	os
feiticeiro 	NC 	feiticeiros
contar 	VMI 	conta
cada_vez 	RG 	cada_vez
menos 	RG 	menos
... 	Fs 	...
- 	Fg 	-
não 	RN 	Não
para 	SP 	para
mim 	PP 	mim
- 	Fg 	-
afirmar 	VMI 	afirmou
mr._malfoy 	NP 	Mr._Malfoy
, 	Fc 	,
com 	SP 	com
o 	DA 	as
longo 	AQ 	longas
narina 	NC 	narinas
dilatar 	VMP 	dilatadas
. 	Fp 	.
- 	Fg 	-
não 	RN 	Não
senhor 	NC 	senhor
, 	Fc 	,
nem 	CC 	nem
para 	SP 	para
mim 	PP 	mim
- 	Fg 	-
concordar 	VMI 	concordou
mr._borgin 	NP 	Mr._Borgin
, 	Fc 	,
inclinar 	VMG 	inclinando
se 	PP 	se
em 	SP 	em
um 	DI 	uma
vénia 	NC 	vénia
. 	Fp 	.
- 	Fg 	-
em 	SP 	Em
esse 	DD 	esse
caso 	NC 	caso
, 	Fc 	,
talvez 	RG 	talvez
poder 	VMS 	possamos
voltar 	VMN 	voltar
a 	SP 	a
o 	DA 	a
meu 	DP 	minha
lista 	NC 	lista
- 	Fg 	-
dizer 	VMI 	disse
mr._malfoy 	NP 	Mr._Malfoy
seco 	RG 	secamente
. 	Fp 	.
- 	Fg 	-
estar 	VMI 	Estou
com 	SP 	com
algum 	DI 	alguma
pressa 	NC 	pressa
, 	Fc 	,
borgin 	NP 	Borgin
, 	Fc 	,
ter 	VMI 	tenho
ainda 	RG 	ainda
hoje 	RG 	hoje
assunto 	NC 	assuntos
importante 	AQ 	importantes
a 	SP 	a
tratar 	VMN 	tratar
em 	SP 	em
outro 	DI 	outro
lado 	NC 	lado
. 	Fp 	.
começar 	VMI 	Começaram
a 	SP 	a
discutir 	VMN 	discutir
o 	DA 	os
preço 	NC 	preços
. 	Fp 	.
harry 	NP 	Harry
ver 	VMI 	via
nervoso 	RG 	nervosamente
o 	DA 	o
draco 	NP 	Draco
aproximar 	VMN 	aproximar
se 	PP 	se
de 	SP 	de
o 	DA 	o
seu 	DP 	seu
esconderijo 	NC 	esconderijo
enquanto 	RG 	enquanto
observar 	VMI 	observava
o 	DA 	os
objecto 	NC 	objectos
a 	SP 	a
o 	DA 	a
venda 	NC 	venda
. 	Fp 	.
parar 	VMI 	Parou
para 	SP 	para
examinar 	VMN 	examinar
um 	DI 	um
enorme 	AQ 	enorme
rolo 	NC 	rolo
de 	SP 	de
corda 	NC 	corda
de 	SP 	de
carrasco 	NC 	carrasco
e 	CC 	e
para 	SP 	para
ver 	VMN 	ver
, 	Fc 	,
com 	SP 	com
um 	DI 	um
sorriso 	NC 	sorriso
afectar 	VMP 	afectado
, 	Fc 	,
o 	DA 	o
cartão 	NC 	cartão
preso 	AQ 	preso
com 	SP 	com
um 	DI 	um
aparatoso 	AQ 	aparatoso
laço 	NC 	laço
de 	SP 	de
opala 	NC 	opalas
onde 	RG 	onde
poder 	VMI 	podia
ler 	VMN 	ler
se 	PP 	se
: 	Fd 	:
* 	Fz 	*
_ 	Fz 	_
cautela 	NP 	Cautela
, 	Fc 	,
não 	RN 	não
tocar 	VMN 	tocar
. 	Fp 	.
amaldiçoar 	VMP 	Amaldiçoado
- 	Fg 	-
reclamar 	VMI 	reclama
o 	DA 	as
vida 	NC 	vidas
de 	SP 	de
19 	Z 	dezanove
dono 	NC 	donos
, 	Fc 	,
todo 	DI 	todos
ele 	PP 	eles
muggles 	NP 	Muggles
* 	Fz 	*
. 	Fp 	.
draco 	NP 	Draco
voltar 	VMI 	voltou
se 	PP 	se
e 	CC 	e
ver 	VMI 	viu
o 	DA 	o
armário 	NC 	armário
mesmo 	RG 	mesmo
em 	SP 	em
frente 	NC 	frente
. 	Fp 	.
avançar 	VMI 	Avançou
, 	Fc 	,
estender 	VMI 	estendeu
o 	DA 	a
mão 	NC 	mão
para 	SP 	para
o 	DA 	o
puxador 	NC 	puxador
... 	Fs 	...
- 	Fg 	-
fazer 	VMP 	Feito
- 	Fg 	-
dizer 	VMI 	disse
mr._malfoy 	NP 	Mr._Malfoy
, 	Fc 	,
a 	SP 	a
o 	DA 	o
balcão 	NC 	balcão
. 	Fp 	.
- 	Fg 	-
ir 	VMI 	Vamos
, 	Fc 	,
draco 	NP 	Draco
. 	Fp 	.
harry 	NP 	Harry
limpar 	VMI 	limpou
o 	DA 	a
testa 	NC 	testa
a 	SP 	a
o 	DA 	a
manga 	NC 	manga
quando 	RG 	quando
draco 	NP 	Draco
se 	PP 	se
afastar 	VMI 	afastou
. 	Fp 	.
- 	Fg 	-
muito 	RG 	Muito
bom 	AQ 	bom
dia 	NC 	dia
, 	Fc 	,
mr._borgin 	NP 	Mr._Borgin
. 	Fp 	.
esperar 	VMI 	Espero
por 	SP 	por
si 	PP 	si
amanhã 	RG 	amanhã
em 	SP 	em
o 	DA 	a
mansão 	NC 	mansão
para 	SP 	para
ir 	VMN 	ir
buscar 	VMN 	buscar
o 	DA 	a
mercadoria 	NC 	mercadoria
. 	Fp 	.
em 	SP 	Em
o 	DA 	o
momento 	NC 	momento
em 	SP 	em
que 	PR 	que
o 	DA 	a
porta 	NC 	porta
se 	PP 	se
fechar 	VMI 	fechou
, 	Fc 	,
mr._borgin 	NP 	Mr._Borgin
abandonar 	VMI 	abandonou
o 	DA 	os
seu 	DP 	seus
modo 	NC 	modos
subserviente 	AQ 	subservientes
. 	Fp 	.
« 	Fra 	«
bom 	AQ 	Bom
dia 	NC 	dia
para 	SP 	para
o 	DA 	o
senhor 	NC 	senhor
, 	Fc 	,
mr._malfoy 	NP 	Mr._Malfoy
, 	Fc 	,
e 	CC 	e
, 	Fc 	,
se 	CS 	se
o 	DA 	as
história 	NC 	histórias
que 	PR 	que
contar 	VMI 	contam
ser 	VMI 	são
verdadeiro 	AQ 	verdadeiras
, 	Fc 	,
não 	RN 	não
me 	PP 	me
vender 	VMI 	vendeu
nem 	CC 	nem
metade 	NC 	metade
do_que 	CS 	do_que
ter 	VMI 	tem
esconder 	VMP 	escondido
em 	SP 	em
o 	DA 	a
seu 	DP 	sua
mansão 	NC 	mansão
... 	Fs 	...
» 	Frc 	»
murmurar 	VMG 	Murmurando
de 	SP 	de
forma 	NC 	forma
taciturno 	AQ 	taciturna
, 	Fc 	,
mr._borgin 	NP 	Mr._Borgin
desaparecer 	VMI 	desapareceu
em 	SP 	em
um 	DI 	uma
sala 	NC 	sala
escuro 	AQ 	escura
. 	Fp 	.
harry 	NP 	Harry
esperar 	VMI 	esperou
um 	DI 	um
minuto 	NC 	minuto
não 	RN 	não
fossar 	VMS 	fosse
ele 	PP 	ele
voltar 	VMN 	voltar
e 	CC 	e
, 	Fc 	,
em 	SP 	em
seguida 	NC 	seguida
, 	Fc 	,
o 	DA 	o
mais 	RG 	mais
silencioso 	RG 	silenciosamente
possível 	AQ 	possível
, 	Fc 	,
escapar 	VMI 	escapou
se 	PP 	se
de 	SP 	de
o 	DA 	o
armário 	NC 	armário
, 	Fc 	,
passar 	VMI 	passou
por 	SP 	por
o 	DA 	as
caixa 	NC 	caixas
de 	SP 	de
vidro 	NC 	vidro
e 	CC 	e
sair 	VMI 	saiu
de 	SP 	de
o 	DA 	a
loja 	NC 	loja
. 	Fp 	.
encostar 	VMG 	Encostando
o 	DA 	os
óculo 	NC 	óculos
partido 	NC 	partidos
a 	SP 	a
o 	DA 	o
rosto 	NC 	rosto
, 	Fc 	,
olhar 	VMI 	olhou
em 	SP 	em
volta 	NC 	volta
. 	Fp 	.
sair 	VMI 	Saíra
em 	SP 	em
um 	DI 	uma
rua 	NC 	rua
estreito 	AQ 	estreita
e 	CC 	e
sombrio 	AQ 	sombria
que 	PR 	que
parecer 	VMI 	parecia
compor 	VMP 	composta
exclusivo 	RG 	exclusivamente
de 	SP 	de
loja 	NC 	lojas
dedicar 	VMP 	dedicadas
a 	SP 	a
o 	DA 	as
arte 	NC 	artes
negro 	AQ 	negras
. 	Fp 	.
aquele 	PD 	Aquela
de 	SP 	de
onde 	PT 	onde
acabar 	VMI 	acabava
de 	SP 	de
sair 	VMN 	sair
parecer 	VMI 	parecia
ser 	VMN 	ser
o 	DA 	a
